RSSI-Org;Robot Rot Z [deg];Reading Number;;;;;;phi;RSSI
-7337;0;4;;;;;;-90;-73.37
-7562;0;4;;;;;;-90;-75.62
-7600;0;4;;;;;;-90;-76
-7280;0;4;;;;;;-90;-72.8
-7290;0;4;;;;;;-90;-72.9
-7534;0;4;;;;;;-90;-75.34
-5866;100;5;;;;;;10;-58.66
-5856;100;5;;;;;;10;-58.56
-5856;100;5;;;;;;10;-58.56
-5847;100;5;;;;;;10;-58.47
-5837;100;5;;;;;;10;-58.37
-5856;100;5;;;;;;10;-58.56
-5889;110;5;;;;;;20;-58.89
-5880;110;5;;;;;;20;-58.8
-5889;110;5;;;;;;20;-58.89
-5880;110;5;;;;;;20;-58.8
-5880;110;5;;;;;;20;-58.8
-5889;110;5;;;;;;20;-58.89
-6124;120;5;;;;;;30;-61.24
-6105;120;5;;;;;;30;-61.05
-6134;120;5;;;;;;30;-61.34
-6087;120;5;;;;;;30;-60.87
-6115;120;5;;;;;;30;-61.15
-6115;120;5;;;;;;30;-61.15
-6383;130;5;;;;;;40;-63.83
-6373;130;5;;;;;;40;-63.73
-6392;130;5;;;;;;40;-63.92
-6392;130;5;;;;;;40;-63.92
-6373;130;5;;;;;;40;-63.73
-6383;130;5;;;;;;40;-63.83
-6632;140;5;;;;;;50;-66.32
-6632;140;5;;;;;;50;-66.32
-6632;140;5;;;;;;50;-66.32
-6613;140;5;;;;;;50;-66.13
-6613;140;5;;;;;;50;-66.13
-6660;140;5;;;;;;50;-66.6
-6651;140;5;;;;;;50;-66.51
-7271;150;5;;;;;;60;-72.71
-7309;150;5;;;;;;60;-73.09
-7215;150;5;;;;;;60;-72.15
-7290;150;5;;;;;;60;-72.9
-7271;150;5;;;;;;60;-72.71
-7252;150;5;;;;;;60;-72.52
-7243;150;5;;;;;;60;-72.43
-5884;80;5;;;;;;-10;-58.84
-5866;80;5;;;;;;-10;-58.66
-5866;80;5;;;;;;-10;-58.66
-5875;80;5;;;;;;-10;-58.75
-5884;80;5;;;;;;-10;-58.84
-5875;80;5;;;;;;-10;-58.75
-5950;70;5;;;;;;-20;-59.5
-5950;70;5;;;;;;-20;-59.5
-5960;70;5;;;;;;-20;-59.6
-5960;70;5;;;;;;-20;-59.6
-5941;70;5;;;;;;-20;-59.41
-5960;70;5;;;;;;-20;-59.6
-5931;70;5;;;;;;-20;-59.31
-6185;60;5;;;;;;-30;-61.85
-6176;60;5;;;;;;-30;-61.76
-6204;60;5;;;;;;-30;-62.04
-6185;60;5;;;;;;-30;-61.85
-6204;60;5;;;;;;-30;-62.04
-6204;60;5;;;;;;-30;-62.04
-6213;60;5;;;;;;-30;-62.13
-6486;50;5;;;;;;-40;-64.86
-6495;50;5;;;;;;-40;-64.95
-6495;50;5;;;;;;-40;-64.95
-6495;50;5;;;;;;-40;-64.95
-6505;50;5;;;;;;-40;-65.05
-6486;50;5;;;;;;-40;-64.86
-6533;50;5;;;;;;-40;-65.33
-6768;40;5;;;;;;-50;-67.68
-6759;40;5;;;;;;-50;-67.59
-6787;40;5;;;;;;-50;-67.87
-6759;40;5;;;;;;-50;-67.59
-6749;40;5;;;;;;-50;-67.49
-6749;40;5;;;;;;-50;-67.49
-7200;30;5;;;;;;-60;-72
-7144;30;5;;;;;;-60;-71.44
-7238;30;5;;;;;;-60;-72.38
-7313;30;5;;;;;;-60;-73.13
-7370;30;5;;;;;;-60;-73.7
-7388;30;5;;;;;;-60;-73.88
-7445;30;5;;;;;;-60;-74.45
-7595;20;5;;;;;;-70;-75.95
-7623;20;5;;;;;;-70;-76.23
-7614;20;5;;;;;;-70;-76.14
-7633;20;5;;;;;;-70;-76.33
-7652;20;5;;;;;;-70;-76.52
-7623;20;5;;;;;;-70;-76.23
-7623;20;5;;;;;;-70;-76.23
-7473;10;5;;;;;;-80;-74.73
-7417;10;5;;;;;;-80;-74.17
-7370;10;5;;;;;;-80;-73.7
-7435;10;5;;;;;;-80;-74.35
-7445;10;5;;;;;;-80;-74.45
-7473;10;5;;;;;;-80;-74.73
-7435;10;5;;;;;;-80;-74.35
-7003;0;5;;;;;;-90;-70.03
-7388;0;5;;;;;;-90;-73.88
-7059;0;5;;;;;;-90;-70.59
-7388;0;5;;;;;;-90;-73.88
-7445;0;5;;;;;;-90;-74.45
-7022;0;5;;;;;;-90;-70.22
-7379;0;5;;;;;;-90;-73.79
-6994;0;5;;;;;;-90;-69.94
-7003;0;5;;;;;;-90;-70.03
-7464;0;5;;;;;;-90;-74.64
-7031;0;5;;;;;;-90;-70.31
-7370;0;5;;;;;;-90;-73.7
-5814;100;6;;;;;;10;-58.14
-5833;100;6;;;;;;10;-58.33
-5814;100;6;;;;;;10;-58.14
-5814;100;6;;;;;;10;-58.14
-5823;100;6;;;;;;10;-58.23
-5842;100;6;;;;;;10;-58.42
-5894;110;6;;;;;;20;-58.94
-5875;110;6;;;;;;20;-58.75
-5884;110;6;;;;;;20;-58.84
-5866;110;6;;;;;;20;-58.66
-5884;110;6;;;;;;20;-58.84
-5884;110;6;;;;;;20;-58.84
-5875;110;6;;;;;;20;-58.75
-6063;120;6;;;;;;30;-60.63
-6063;120;6;;;;;;30;-60.63
-6063;120;6;;;;;;30;-60.63
-6063;120;6;;;;;;30;-60.63
-6063;120;6;;;;;;30;-60.63
-6063;120;6;;;;;;30;-60.63
-6063;120;6;;;;;;30;-60.63
-6336;130;6;;;;;;40;-63.36
-6326;130;6;;;;;;40;-63.26
-6307;130;6;;;;;;40;-63.07
-6336;130;6;;;;;;40;-63.36
-6336;130;6;;;;;;40;-63.36
-6317;130;6;;;;;;40;-63.17
-6688;140;6;;;;;;50;-66.88
-6604;140;6;;;;;;50;-66.04
-6651;140;6;;;;;;50;-66.51
-6669;140;6;;;;;;50;-66.69
-6613;140;6;;;;;;50;-66.13
-6641;140;6;;;;;;50;-66.41
-6613;140;6;;;;;;50;-66.13
-7182;150;6;;;;;;60;-71.82
-7219;150;6;;;;;;60;-72.19
-7163;150;6;;;;;;60;-71.63
-7172;150;6;;;;;;60;-71.72
-7238;150;6;;;;;;60;-72.38
-7182;150;6;;;;;;60;-71.82
-7219;150;6;;;;;;60;-72.19
-5819;80;6;;;;;;-10;-58.19
-5837;80;6;;;;;;-10;-58.37
-5837;80;6;;;;;;-10;-58.37
-5847;80;6;;;;;;-10;-58.47
-5828;80;6;;;;;;-10;-58.28
-5828;80;6;;;;;;-10;-58.28
-5978;70;6;;;;;;-20;-59.78
-5950;70;6;;;;;;-20;-59.5
-5969;70;6;;;;;;-20;-59.69
-5978;70;6;;;;;;-20;-59.78
-5978;70;6;;;;;;-20;-59.78
-5988;70;6;;;;;;-20;-59.88
-6166;60;6;;;;;;-30;-61.66
-6166;60;6;;;;;;-30;-61.66
-6157;60;6;;;;;;-30;-61.57
-6166;60;6;;;;;;-30;-61.66
-6157;60;6;;;;;;-30;-61.57
-6166;60;6;;;;;;-30;-61.66
-6176;60;6;;;;;;-30;-61.76
-6510;50;6;;;;;;-40;-65.1
-6500;50;6;;;;;;-40;-65
-6500;50;6;;;;;;-40;-65
-6528;50;6;;;;;;-40;-65.28
-6538;50;6;;;;;;-40;-65.38
-6510;50;6;;;;;;-40;-65.1
-6886;40;6;;;;;;-50;-68.86
-6886;40;6;;;;;;-50;-68.86
-6895;40;6;;;;;;-50;-68.95
-6876;40;6;;;;;;-50;-68.76
-6895;40;6;;;;;;-50;-68.95
-6886;40;6;;;;;;-50;-68.86
-7793;30;6;;;;;;-60;-77.93
-7717;30;6;;;;;;-60;-77.17
-7811;30;6;;;;;;-60;-78.11
-7811;30;6;;;;;;-60;-78.11
-7793;30;6;;;;;;-60;-77.93
-7727;30;6;;;;;;-60;-77.27
-7774;30;6;;;;;;-60;-77.74
-7558;20;6;;;;;;-70;-75.58
-7595;20;6;;;;;;-70;-75.95
-7633;20;6;;;;;;-70;-76.33
-7576;20;6;;;;;;-70;-75.76
-7576;20;6;;;;;;-70;-75.76
-7652;20;6;;;;;;-70;-76.52
-7595;20;6;;;;;;-70;-75.95
-7450;10;6;;;;;;-80;-74.5
-7478;10;6;;;;;;-80;-74.78
-7468;10;6;;;;;;-80;-74.68
-7431;10;6;;;;;;-80;-74.31
-7459;10;6;;;;;;-80;-74.59
-7412;10;6;;;;;;-80;-74.12
-7628;0;6;;;;;;-90;-76.28
-7186;0;6;;;;;;-90;-71.86
-7158;0;6;;;;;;-90;-71.58
-7139;0;6;;;;;;-90;-71.39
-7553;0;6;;;;;;-90;-75.53
-7139;0;6;;;;;;-90;-71.39
-7196;0;6;;;;;;-90;-71.96
-7591;0;6;;;;;;-90;-75.91
-5847;100;7;;;;;;10;-58.47
-5837;100;7;;;;;;10;-58.37
-5837;100;7;;;;;;10;-58.37
-5837;100;7;;;;;;10;-58.37
-5847;100;7;;;;;;10;-58.47
-5866;100;7;;;;;;10;-58.66
-5861;110;7;;;;;;20;-58.61
-5870;110;7;;;;;;20;-58.7
-5870;110;7;;;;;;20;-58.7
-5852;110;7;;;;;;20;-58.52
-5880;110;7;;;;;;20;-58.8
-5889;110;7;;;;;;20;-58.89
-6011;120;7;;;;;;30;-60.11
-6021;120;7;;;;;;30;-60.21
-6040;120;7;;;;;;30;-60.4
-6021;120;7;;;;;;30;-60.21
-6011;120;7;;;;;;30;-60.11
-6040;120;7;;;;;;30;-60.4
-6030;120;7;;;;;;30;-60.3
-6383;130;7;;;;;;40;-63.83
-6364;130;7;;;;;;40;-63.64
-6345;130;7;;;;;;40;-63.45
-6354;130;7;;;;;;40;-63.54
-6373;130;7;;;;;;40;-63.73
-6373;130;7;;;;;;40;-63.73
-6373;130;7;;;;;;40;-63.73
-6660;140;7;;;;;;50;-66.6
-6688;140;7;;;;;;50;-66.88
-6660;140;7;;;;;;50;-66.6
-6707;140;7;;;;;;50;-67.07
-6679;140;7;;;;;;50;-66.79
-6669;140;7;;;;;;50;-66.69
-7215;150;7;;;;;;60;-72.15
-7205;150;7;;;;;;60;-72.05
-7215;150;7;;;;;;60;-72.15
-7224;150;7;;;;;;60;-72.24
-7224;150;7;;;;;;60;-72.24
-7205;150;7;;;;;;60;-72.05
-7224;150;7;;;;;;60;-72.24
-5823;80;7;;;;;;-10;-58.23
-5852;80;7;;;;;;-10;-58.52
-5833;80;7;;;;;;-10;-58.33
-5833;80;7;;;;;;-10;-58.33
-5852;80;7;;;;;;-10;-58.52
-5842;80;7;;;;;;-10;-58.42
-5870;80;7;;;;;;-10;-58.7
-5988;70;7;;;;;;-20;-59.88
-6007;70;7;;;;;;-20;-60.07
-5988;70;7;;;;;;-20;-59.88
-5988;70;7;;;;;;-20;-59.88
-5997;70;7;;;;;;-20;-59.97
-5988;70;7;;;;;;-20;-59.88
-5997;70;7;;;;;;-20;-59.97
-6242;60;7;;;;;;-30;-62.42
-6242;60;7;;;;;;-30;-62.42
-6232;60;7;;;;;;-30;-62.32
-6213;60;7;;;;;;-30;-62.13
-6223;60;7;;;;;;-30;-62.23
-6213;60;7;;;;;;-30;-62.13
-6533;50;7;;;;;;-40;-65.33
-6533;50;7;;;;;;-40;-65.33
-6561;50;7;;;;;;-40;-65.61
-6542;50;7;;;;;;-40;-65.42
-6505;50;7;;;;;;-40;-65.05
-6552;50;7;;;;;;-40;-65.52
-6542;50;7;;;;;;-40;-65.42
-6876;40;7;;;;;;-50;-68.76
-6867;40;7;;;;;;-50;-68.67
